candidateId,value,universidad homologada
630633fa1e599d0009d6dee0,Ucv,Universidad Cesar Vallejo S.A.C.
63063bda29da5b00089fb224,Universidad Peruana De Ciencias Aplicadas   Upc,Universidad Peruana de Ciencias Aplicadas S.A.C.
630665b8594e18004af04816,Universidad Privada Del Norte   Upn,Universidad Privada del Norte S.A.C.
630665b8594e18004af04825,Universidad Nacional Agraria La Molina,Universidad Nacional Agraria La Molina
630665b8594e18004af04835,Universidad Privada San Juan Bautista,Universidad Privada San Juan Bautista S.A.C.
630665b8594e18004af0485d,Universidad De Ciencias Aplicadas,Universidad Peruana de Ciencias Aplicadas S.A.C.
630665b8594e18004af04864,Universidad Peruana De Ciencias Aplicadas   Upc,Universidad Peruana de Ciencias Aplicadas S.A.C.
630665b8594e18004af0489e,Universidad Cesar Vallejo,Universidad Cesar Vallejo S.A.C.
630665b8594e18004af048a6,Universidad Nacional De San Agustin,Universidad Nacional de San Agustin de Arequipa
630665b8594e18004af048ca,Universidad Tecnologica Del Peru,Universidad Tecnologica del Peru S.A.C.
630665b8594e18004af048d7,Universidad Nacional Mayor De San Marcos,Universidad Nacional Mayor de San Marcos
630665b8594e18004af048e7,Upn,Universidad Privada del Norte S.A.C.
630665b8594e18004af048fe,Universidad Privada San Juan Bautista,Universidad Privada San Juan Bautista S.A.C.
630665b8594e18004af04907,Universidad Tecnologica Del Peru,Universidad Tecnologica del Peru S.A.C.
630665b8594e18004af04947,Universidad Privada Del Norte,Universidad Privada del Norte S.A.C.
630665b8594e18004af0498a,Universidad Nacional De Piura,Universidad Nacional de Piura
630665b8594e18004af049b7,Universidad Cesar Vallejo,Universidad Cesar Vallejo S.A.C.
630665b8594e18004af049bf,Universidad Nacional De Jaen,Universidad Nacional de Jaen
630665b8594e18004af049c7,Universidad Tecnologica Del Peru,Universidad Tecnologica del Peru S.A.C.
630665b8594e18004af049ed,Universidad Nacional Mayor De San Marcos,Universidad Nacional Mayor de San Marcos
630665b8594e18004af049fa,Universidad Privada Del Norte,Universidad Privada del Norte S.A.C.
630665b8594e18004af04a18,Universidad Privada Del Norte,Universidad Privada del Norte S.A.C.
630665b8594e18004af04a3a,Universidad Cesar Vallejo,Universidad Cesar Vallejo S.A.C.
630665b8594e18004af04a5a,Universidad Tecnologica Del Peru,Universidad Tecnologica del Peru S.A.C.
630665b8594e18004af04a68,Universidad San Ignacio De Loyola,Universidad San Ignacio de Loyola S.R.L.
630665b8594e18004af04a89,Universidad Privada Del Norte,Universidad Privada del Norte S.A.C.
